id,interest,year,pid,gender,activity,pride,routine,outoftouch,fbcommunity,shutdown,friends,time,trust,job,loan,advice,notimportant,connected,spendtime,newthings,community,newpeople,group,motives,dontshare,depend,dontunderstand,alone,cares,support,romantic,needromance,agreeable,conscientious,extraverted,neurotic,open,facebook,linkedin,degree,cluster,effective,constraint,hierarchy,betweenness,isolates,fdegree,mdegree,odegree,pisolates
Wildcat261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,6,-0.1,8,16.67,0,15,,,,,
Wildcat262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,8,-0.0714,10,12.5,0,28,,,,,
Wildcat263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,9,0.0417,7.7,17.7,1.65,33,,,,,
Wildcat264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,10,0.1944,3,24,5.24,35.3,,,,,
Wildcat265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,14,,16,7.14,0,91,,,,,
Wildcat266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,18,0.0523,14.4,11.35,1.68,141.5,,,,,
Wildcat267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,70,0.2919,-10.6,5.5,1.56,1014.3,,,,,
Wildcat268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,87,13.51,72.400002,33.400002,0.77999997,3459.3,,,,,
Wildcat269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,96,0.1208,50.1,3.9,1.14,3309.4,,,,,
Wildcat270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,116,0.261,-4.1,3.41,0.98,2542,,,,,
Wildcat271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,127,0.1343,59.3,2.95,0.83,5138.8,,,,,
Wildcat272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,499,7.55,348.70001,0.82999998,0.27000001,85289.898,,,,,
Wildcat273,6,3,6,0,1,1,1,1,1,3,1,1,3,4,2,5,3,3,4,4,3,4,5,4,1,5,1,1,5,5,1,3,85,54,31,46,73,0,0,,,,,,,,,,,
Wildcat274,3,3,1,1,4,3,4,4,3,4,3,3,5,5,4,5,3,4,4,4,4,5,5,4,1,5,1,1,5,5,5,1,56,79,46,50,60,0,0,,,,,,,,,,,
Wildcat275,4,3,7,1,4,4,4,3,4,3,2,2,,,,,,,,,,,,,,,,,,,,,58,43,51,56,68,0,0,,,,,,,,,,,
Wildcat276,3,3,4,0,,,,,,,,,4,4,2,5,4,3,4,2,5,2,4,3,2,4,4,2,2,4,3,2,70,39,62,29,77,0,0,,,,,,,,,,,
Wildcat277,5,3,5,0,,,,,,,,,,,,,,,,,,,4,5,2,4,2,5,5,4,1,2,65,48,31,34,40,0,0,,,,,,,,,,,
Wildcat278,5,4,2,0,1,1,2,1,4,2,3,2,3,4,5,5,1,3,3,4,3,4,4,5,4,5,1,1,5,5,5,4,88,73,77,40,96,0,0,,,,,,,,,,,
Wildcat279,3,4,3,0,1,1,1,1,3,2,3,1,4,4,2,5,2,5,4,5,5,5,5,4,1,4,1,3,5,5,1,4,69,60,52,23,79,0,0,,,,,,,,,,,
Wildcat280,5,4,1,0,1,1,1,1,1,1,1,1,4,5,5,5,2,5,2,4,4,4,,,,,,,,,,,35,46,54,60,65,0,0,,,,,,,,,,,
Wildcat281,4,4,7,0,1,3,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,80,28,41,48,77,0,0,,,,,,,,,,,
Wildcat282,6,4,1,0,1,2,1,4,2,4,3,2,,,,,,,,,,,,,,,,,,,,,89,50,79,35,100,0,0,,,,,,,,,,,
Wildcat283,5,4,7,0,2,1,4,1,2,1,1,1,4,4,2,4,2,4,3,4,3,2,4,5,1,3,2,2,4,4,1,4,44,40,17,69,27,0,0,,,,,,,,,,,
Wildcat284,4,4,6,0,2,3,2,1,2,3,5,2,4,4,5,5,1,4,4,4,4,4,5,5,1,5,1,1,5,5,5,1,79,65,67,46,90,0,0,,,,,,,,,,,
Wildcat285,3,4,,,3,3,4,4,3,2,1,2,5,4,1,5,1,4,1,4,3,4,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,
Wildcat286,4,4,4,1,4,4,3,2,5,5,1,4,5,3,5,5,3,4,4,5,5,3,,,,,,,,,,,90,62,52,15,71,0,0,,,,,,,,,,,
Wildcat287,4,4,2,0,4,4,3,2,3,4,4,3,,,,,,,,,,,,,,,,,,,,,58,56,38,48,75,0,0,,,,,,,,,,,
Wildcat288,6,4,6,0,,,,,,,,,2,4,5,4,1,4,4,3,4,5,,,,,,,,,,,48,46,65,52,92,0,0,,,,,,,,,,,
Wildcat289,3,4,4,0,,,,,,,,,3,4,4,5,4,4,3,4,4,3,,,,,,,,,,,96,97,91,99,97,0,0,,,,,,,,,,,
Wildcat290,4,4,3,0,,,,,,,,,4,3,4,4,3,3,4,4,3,2,,,,,,,,,,,47,33,33,56,58,0,0,,,,,,,,,,,
Wildcat291,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,22,40,78,55,0,0,,,,,,,,,,,
Wildcat292,,,,,1,2,1,1,1,2,2,1,1,4,1,4,4,4,2,1,1,2,1,3,2,2,2,2,4,4,4,2,,,,,,0,0,,,,,,,,,,,
Wildcat293,,,,,,,,,,,,,5,5,5,5,5,5,4,3,3,3,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,
Wildcat294,2,2,2,1,1,3,1,1,2,1,4,1,2,3,1,4,1,3,2,4,4,1,3,4,1,4,3,4,5,5,5,1,65,65,83,56,92,0,0,,,,,,,,,,,
Wildcat295,5,2,2,0,1,3,1,1,1,1,1,1,3,4,4,3,3,4,2,3,4,2,3,4,4,4,3,4,3,3,3,4,27,52,54,25,44,0,0,,,,,,,,,,,
Wildcat296,6,2,4,0,3,3,3,3,4,4,2,5,3,4,3,4,3,5,4,4,5,3,4,3,2,3,2,2,3,4,4,4,60,69,85,31,65,0,0,,,,,,,,,,,
Wildcat297,5,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,
Wildcat298,5,3,7,1,1,5,4,4,4,5,5,3,4,4,5,5,2,3,2,2,4,4,4,4,2,4,2,1,5,5,5,1,,,,,,0,0,,,,,,,,,,,
